GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Credit Application Platform,com.creditapp.borrower.dto,SubmitApplicationRequest,85,0,14,0,5,0,16,0,9,0
Credit Application Platform,com.creditapp.borrower.dto,ApplicationHistoryResponse,243,57,54,0,1,9,37,9,10,9
Credit Application Platform,com.creditapp.borrower.dto,ApplicationStatusDTO,230,70,54,0,0,10,31,15,4,15
Credit Application Platform,com.creditapp.borrower.dto,OfferHistoryResponse,243,57,54,0,1,9,37,9,10,9
Credit Application Platform,com.creditapp.borrower.dto,ApplicationDetailsDTO.ApplicationDetailsDTOBuilder,8,28,0,0,0,1,1,5,1,5
Credit Application Platform,com.creditapp.borrower.dto,StatusTransitionDTO,230,70,54,0,0,10,31,15,4,15
Credit Application Platform,com.creditapp.borrower.dto,OfferHistoryResponse.OfferHistoryResponseBuilder,14,49,0,0,0,1,1,8,1,8
Credit Application Platform,com.creditapp.borrower.dto,HelpArticleListDTO.HelpArticleListDTOBuilder,10,35,0,0,0,1,1,6,1,6
Credit Application Platform,com.creditapp.borrower.dto,DocumentDTO,343,0,62,0,11,0,52,0,21,0
Credit Application Platform,com.creditapp.borrower.dto,LoanPreferenceDTO,296,0,54,0,9,0,45,0,18,0
Credit Application Platform,com.creditapp.borrower.dto,SubmitApplicationResponse,223,34,46,0,3,6,34,6,11,6
Credit Application Platform,com.creditapp.borrower.dto,OfferComparisonTableRow,0,115,0,0,0,33,0,33,0,33
Credit Application Platform,com.creditapp.borrower.dto,CreateApplicationRequest,197,60,46,0,0,9,27,13,4,13
Credit Application Platform,com.creditapp.borrower.dto,CalculateScenarioResponse.CalculateScenarioResponseBuilder,32,86,1,1,0,1,3,12,2,12
Credit Application Platform,com.creditapp.borrower.dto,HelpFAQDTO,171,0,30,0,7,0,28,0,13,0
Credit Application Platform,com.creditapp.borrower.dto,StatusTransitionDTO.StatusTransitionDTOBuilder,14,49,0,0,0,1,1,8,1,8
Credit Application Platform,com.creditapp.borrower.dto,SubmitApplicationRequest.SubmitApplicationRequestBuilder,18,0,0,0,1,0,4,0,4,0
Credit Application Platform,com.creditapp.borrower.dto,ApplicationDTO,362,110,86,0,0,14,47,23,4,23
Credit Application Platform,com.creditapp.borrower.dto,HelpArticleDTO.HelpArticleDTOBuilder,22,77,0,0,0,1,1,12,1,12
Credit Application Platform,com.creditapp.borrower.dto,SelectOfferRequest,71,10,14,0,1,3,12,3,5,3
Credit Application Platform,com.creditapp.borrower.dto,ApplicationHistoryResponse.ApplicationHistoryResponseBuilder,14,49,0,0,0,1,1,8,1,8
Credit Application Platform,com.creditapp.borrower.dto,OfferComparisonResponse,74,0,0,0,23,0,14,0,14,0
Credit Application Platform,com.creditapp.borrower.dto,OfferSummaryDTO,0,18,0,0,0,1,0,1,0,1
Credit Application Platform,com.creditapp.borrower.dto,UpdateApplicationRequest,257,43,54,0,2,8,38,8,11,8
Credit Application Platform,com.creditapp.borrower.dto,OfferHistoryRecord,635,52,126,0,17,2,98,2,35,2
Credit Application Platform,com.creditapp.borrower.dto,ApplicationHistoryRequest,324,62,70,0,0,12,46,12,11,12
Credit Application Platform,com.creditapp.borrower.dto,SelectOfferResponse,331,51,70,0,2,9,48,9,13,9
Credit Application Platform,com.creditapp.borrower.dto,ApplicationDTO.ApplicationDTOBuilder,22,77,0,0,0,1,1,12,1,12
Credit Application Platform,com.creditapp.borrower.dto,NotificationDTO,318,55,66,0,2,10,46,10,13,10
Credit Application Platform,com.creditapp.borrower.dto,UpdateApplicationRequest.UpdateApplicationRequestBuilder,14,49,0,0,0,1,1,8,1,8
Credit Application Platform,com.creditapp.borrower.dto,WithdrawApplicationResponse,257,0,46,0,9,0,40,0,17,0
Credit Application Platform,com.creditapp.borrower.dto,CalculateScenarioRequest,135,36,30,0,0,7,20,8,5,8
Credit Application Platform,com.creditapp.borrower.dto,SavingsAnalysisDTO,0,15,0,0,0,1,0,1,0,1
Credit Application Platform,com.creditapp.borrower.dto,OfferComparisonTableRequest,36,57,0,0,9,20,9,12,9,12
Credit Application Platform,com.creditapp.borrower.dto,UpdateApplicationResponse.UpdateApplicationResponseBuilder,22,77,0,0,0,1,1,12,1,12
Credit Application Platform,com.creditapp.borrower.dto,ApplicationStatusDTO.ApplicationStatusDTOBuilder,14,49,0,0,0,1,1,8,1,8
Credit Application Platform,com.creditapp.borrower.dto,CalculateScenarioRequest.CalculateScenarioRequestBuilder,13,23,0,0,0,1,2,4,2,4
Credit Application Platform,com.creditapp.borrower.dto,DocumentDTO.DocumentDTOBuilder,72,0,0,0,1,0,10,0,10,0
Credit Application Platform,com.creditapp.borrower.dto,UpdateApplicationResponse,417,55,86,0,6,8,62,8,19,8
Credit Application Platform,com.creditapp.borrower.dto,SubmitApplicationResponse.SubmitApplicationResponseBuilder,12,42,0,0,0,1,1,7,1,7
Credit Application Platform,com.creditapp.borrower.dto,ApplicationDetailsDTO,146,25,30,0,2,5,23,5,8,5
Credit Application Platform,com.creditapp.borrower.dto,OfferInsightsDTO,0,24,0,0,0,1,0,1,0,1
Credit Application Platform,com.creditapp.borrower.dto,CreateApplicationRequest.CreateApplicationRequestBuilder,12,42,0,0,0,1,1,7,1,7
Credit Application Platform,com.creditapp.borrower.dto,NotificationDTO.NotificationDTOBuilder,18,63,0,0,0,1,1,10,1,10
Credit Application Platform,com.creditapp.borrower.dto,OfferComparisonDTO,82,78,0,0,22,27,22,12,22,12
Credit Application Platform,com.creditapp.borrower.dto,HelpArticleDTO,405,67,86,0,2,12,58,12,15,12
Credit Application Platform,com.creditapp.borrower.dto,HelpFAQDTO.HelpFAQDTOBuilder,36,0,0,0,1,0,6,0,6,0
Credit Application Platform,com.creditapp.borrower.dto,ApplicationHistoryRequest.ApplicationHistoryRequestBuilder,28,53,0,0,0,1,3,8,3,8
Credit Application Platform,com.creditapp.borrower.dto,WithdrawApplicationRequest.WithdrawApplicationRequestBuilder,18,0,0,0,1,0,4,0,4,0
Credit Application Platform,com.creditapp.borrower.dto,WithdrawApplicationRequest,85,0,14,0,5,0,16,0,9,0
Credit Application Platform,com.creditapp.borrower.dto,OfferComparisonTableResponse,0,66,0,0,0,19,0,19,0,19
Credit Application Platform,com.creditapp.auth.controller,AuthController,94,187,1,5,27,47,4,7,3,5
Credit Application Platform,com.creditapp.auth.controller,UserProfileController,0,63,0,0,0,14,0,5,0,5
Credit Application Platform,com.creditapp.auth.filter,JwtAuthenticationFilter,11,105,2,10,4,27,2,8,0,4
Credit Application Platform,com.creditapp.auth.filter,JwtAuthenticationToken,5,42,0,0,3,15,3,9,3,9
